년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2009,104,12.3,7.8,16.6
2010,104,9.6,5.8,13.5
2011,104,10.2,5.4,15
2012,104,11.3,6.9,15.8
2013,104,11.1,6.2,16.2
2014,104,13.1,8,18
2015,104,12.5,6.9,17.7
2016,104,13,8,17.9
2017,104,13.4,8.4,18.4
2018,104,12.6,7.6,17.3
2019,104,13.1,7.9,18.1
2020,104,11.9,7.1,16.8
2021,104,12.4,7.6,17
2022,104,13.6,8.5,18.3
2023,104,13.7,8.6,18.3
2024,104,13,8.2,17.7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"			",,,,
