년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2004,108,12.3,8.1,17.2
2005,108,11.7,7.4,16.6
2006,108,11.7,7.5,16.5
2007,108,11.9,7.8,16.6
2008,108,13,8.7,18
2009,108,12.6,8.2,17.6
2010,108,10.3,6.4,14.7
2011,108,10.7,6.8,15.6
2012,108,12.4,8.2,17.5
2013,108,11.1,6.7,16.5
2014,108,13.6,8.9,19.3
2015,108,12.8,7.7,18.7
2016,108,13.6,8.5,19.5
2017,108,13.2,8.4,19.2
2018,108,13.1,8.4,18.5
2019,108,12.9,7.9,18.5
2020,108,12.3,7.5,17.7
2021,108,13.4,8.9,18.7
2022,108,13.9,9,19.4
2023,108,14.4,9.2,20.1
2024,108,13.9,9.2,19.4
